11/21/2022 	 2:57:00 PM
 Current Sensitivity 	 1.000000E-9
 This file comes from It only measurement 	 0.000000E+0
 Sampling rate 	 100
 Number of samples per channel 	 -1
 No filter from Labview

 ***End_of_Header***
 	 Time 	 Current 	 Filtered Current
	5.630000	3.628299E-9
	5.640000	3.629910E-9
	5.650000	3.630876E-9
	5.660000	3.643436E-9
	5.670000	3.666304E-9
	5.680000	3.694324E-9
	5.690000	3.725565E-9
	5.700000	3.749398E-9
	5.710000	3.767112E-9
	5.720000	3.774519E-9
	5.730000	3.772909E-9
	5.740000	3.766790E-9
	5.750000	3.754873E-9
	5.760000	3.744567E-9
	5.770000	3.731684E-9
	5.780000	3.718801E-9
	5.790000	3.708173E-9
	5.800000	3.696256E-9
	5.810000	3.686916E-9
	5.820000	3.677576E-9
	5.830000	3.669846E-9
	5.840000	3.665337E-9
	5.850000	3.659540E-9
	5.860000	3.658574E-9
	5.870000	3.657608E-9
	5.880000	3.657608E-9
	5.890000	3.661472E-9
	5.900000	3.662439E-9
	5.910000	3.667592E-9
	5.920000	3.671457E-9
	5.930000	3.673711E-9
	5.940000	3.677576E-9
	5.950000	3.677576E-9
	5.960000	3.679831E-9
	5.970000	3.679831E-9
	5.980000	3.678864E-9
	5.990000	3.679831E-9
	6.000000	3.675966E-9
	6.010000	3.675322E-9
	6.020000	3.671457E-9
	6.030000	3.665981E-9
	6.040000	3.660184E-9
	6.050000	3.649234E-9
	6.060000	3.642792E-9
	6.070000	3.639250E-9
	6.080000	3.639894E-9
	6.090000	3.644725E-9
	6.100000	3.643114E-9
	6.110000	3.644725E-9
	6.120000	3.644403E-9
	6.130000	3.641504E-9
	6.140000	3.640538E-9
	6.150000	3.636673E-9
	6.160000	3.635707E-9
	6.170000	3.633452E-9
	6.180000	3.631198E-9
	6.190000	3.631198E-9
	6.200000	3.628299E-9
	6.210000	3.626045E-9
	6.220000	3.623790E-9
	6.230000	3.622180E-9
	6.240000	3.626045E-9
	6.250000	3.630876E-9
	6.260000	3.644725E-9
	6.270000	3.663727E-9
	6.280000	3.687560E-9
	6.290000	3.713648E-9
	6.300000	3.733294E-9
	6.310000	3.749076E-9
	6.320000	3.756483E-9
	6.330000	3.756161E-9
	6.340000	3.751974E-9
	6.350000	3.740058E-9
	6.360000	3.729752E-9
	6.370000	3.715580E-9
	6.380000	3.699477E-9
	6.390000	3.686916E-9
	6.400000	3.672745E-9
	6.410000	3.662439E-9
	6.420000	3.652454E-9
	6.430000	3.644725E-9
	6.440000	3.641182E-9
	6.450000	3.636029E-9
	6.460000	3.635385E-9
	6.470000	3.635063E-9
	6.480000	3.635063E-9
	6.490000	3.637317E-9
	6.500000	3.637639E-9
	6.510000	3.639894E-9
	6.520000	3.641182E-9
	6.530000	3.641826E-9
	6.540000	3.645691E-9
	6.550000	3.646979E-9
	6.560000	3.650200E-9
	6.570000	3.651488E-9
	6.580000	3.650522E-9
	6.590000	3.651166E-9
	6.600000	3.648590E-9
	6.610000	3.648268E-9
	6.620000	3.645691E-9
	6.630000	3.642792E-9
	6.640000	3.639894E-9
	6.650000	3.632486E-9
	6.660000	3.627011E-9
	6.670000	3.623790E-9
	6.680000	3.624434E-9
	6.690000	3.627655E-9
	6.700000	3.626367E-9
	6.710000	3.626689E-9
	6.720000	3.624756E-9
	6.730000	3.623146E-9
	6.740000	3.624112E-9
	6.750000	3.621536E-9
	6.760000	3.621214E-9
	6.770000	3.618315E-9
	6.780000	3.614128E-9
	6.790000	3.612840E-9
	6.800000	3.608331E-9
	6.810000	3.606720E-9
	6.820000	3.604466E-9
	6.830000	3.600279E-9
	6.840000	3.602211E-9
	6.850000	3.605110E-9
	6.860000	3.615738E-9
	6.870000	3.631842E-9
	6.880000	3.653421E-9
	6.890000	3.680475E-9
	6.900000	3.703986E-9
	6.910000	3.724598E-9
	6.920000	3.736837E-9
	6.930000	3.740380E-9
	6.940000	3.739736E-9
